Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Minnesota,Both,All Ages,2010,2016,Suicide Firearm,,2195,37906789,5.79,.
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Firearm,2010,256,2967299,8.63,8.509516887
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Firearm,2011,268,2978162,9,8.848344634
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Firearm,2012,296,2984945,9.92,9.942434964
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Firearm,2013,279,2990482,9.33,9.221800614
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Firearm,2014,251,2992400,8.39,8.210481056
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Firearm,2015,292,2989390,9.77,9.312288227
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Firearm,2016,268,2988726,8.97,8.708606798
Both Sexes,All Races,Mississippi,Both,All Ages,2010,2016,Suicide Firearm,,1910,20891404,9.14,.
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,2010,489,5988924,8.17,7.821587261
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,2011,513,6010717,8.53,8.203674814
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,2012,546,6025415,9.06,8.706450374
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,2013,556,6042711,9.2,8.794116782
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,2014,588,6060930,9.7,9.122636536
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,2015,605,6076204,9.96,9.509988758
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,2016,650,6093000,10.67,10.26168439
Both Sexes,All Races,Missouri,Both,All Ages,2010,2016,Suicide Firearm,,3947,42297901,9.33,.
